exercise_id	code	name	image_url	muscle_group	pattern	primary_tool	secondary_tool	location	complexity	level	fatigue	goals	category	compat	caution	forbidden	target_muscles	secondary_muscles
exr_41n2hHCXQpZYhxhc	PIE069	Calf Stretch With Hands Against Wall	https://cdn.exercisedb.dev/media/w/images/vfYUcxlPFc.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	SOLEUS, GASTROCNEMIUS
exr_41n2hhiWL8njJDZe	PIE070	Lever Seated Calf Raise	https://cdn.exercisedb.dev/media/w/images/9TeNhxGH3F.jpg	Pierna	Flexión Plantar	Máquina	Ninguna	Gimnasio	Media	Intermedio	Media	GMM, PG	Aislamiento	ENF002, ENF003	PAT007	Ninguna	SOLEUS	GASTROCNEMIUS
exr_41n2hhumxqyAFuTb	PIE071	One Leg Floor Calf Raise	https://cdn.exercisedb.dev/media/w/images/UxHTb10GjI.jpg	Pierna	Flexión Plantar	Propio Peso	Ninguna	Casa, Aire Libre	Baja-Media	Básico	Media	PG, GMM, SB	Aislamiento	ENF001, ENF002, ENF003	PAT007	Ninguna	GASTROCNEMIUS	SOLEUS
exr_41n2hk3YSCjnZ9um	PIE072	Circles Knee Stretch	https://cdn.exercisedb.dev/media/w/images/tuh0mSat5W.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	PAT007	Ninguna	GLUTEUS MAXIMUS, ILIOPSOAS, QUADRICEPS, GLUTEUS MEDIUS	ADDUCTOR BREVIS, HAMSTRINGS, SOLEUS, GASTROCNEMIUS, ADDUCTOR MAGNUS
exr_41n2hLx2rvhz95GC	PIE073	Feet and Ankles Rotation Stretch	https://cdn.exercisedb.dev/media/w/images/h2vROqCsro.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	SOLEUS	GASTROCNEMIUS
exr_41n2hNifNwh2tbR2	PIE074	Ankle - Dorsal Flexion - Articulations	https://cdn.exercisedb.dev/media/w/images/hdWEccGhnn.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	TIBIALIS ANTERIOR	GASTROCNEMIUS, SOLEUS
exr_41n2hnx1hnDdketU	PIE075	Feet and Ankles Stretch II	https://cdn.exercisedb.dev/media/w/images/vHJtDbXlIJ.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	SOLEUS, SERRATUS ANTERIOR
exr_41n2hQtaWxPLNFwX	PIE076	Dumbbell Standing Calf Raise (Both Legs)	https://cdn.exercisedb.dev/media/w/images/fNMPMnyrNL.jpg	Pierna	Flexión Plantar	Mancuernas	Ninguna	Gimnasio, Casa	Media	Intermedio	Media	GMM, PG	Aislamiento	ENF002, ENF003	PAT007	Ninguna	GASTROCNEMIUS	SOLEUS
exr_41n2hrSQZRD4yG7P	PIE077	Circles Knee Stretch II	https://cdn.exercisedb.dev/media/w/images/8zRGHzTGH5.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	PAT007	Ninguna	GASTROCNEMIUS, TIBIALIS ANTERIOR, SOLEUS	QUADRICEPS
exr_41n2hSGs9Q3NVGhs	PIE078	Bodyweight Standing Calf Raise	https://cdn.exercisedb.dev/media/w/images/HbR3LMueKg.jpg	Pierna	Flexión Plantar	Propio Peso	Ninguna	Casa, Aire Libre	Baja-Media	Básico	Media	PG, GMM, SB	Aislamiento	ENF001, ENF002, ENF003, ENF009	PAT007	Ninguna	GASTROCNEMIUS	SOLEUS
exr_41n2hSkc2tRLxVVS	PIE079	Calf Stretch with Rope	https://cdn.exercisedb.dev/media/w/images/qbphLBTjbs.jpg	Pierna	Estabilización	Cuerda / Toalla	Propio Peso	Casa	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	GASTROCNEMIUS	SOLEUS
exr_41n2hTs4q3ihihZs	PIE080	Seated Calf Raise	https://cdn.exercisedb.dev/media/w/images/4TWa5X9NV0.jpg	Pierna	Flexión Plantar	Barra	Banco	Gimnasio	Media	Intermedio	Media	GMM, PG	Aislamiento	ENF002, ENF003	PAT007	Ninguna	GASTROCNEMIUS	SOLEUS
exr_41n2hu5r8WMaLUkH	PIE081	Seated Straight Leg Calf Stretch	https://cdn.exercisedb.dev/media/w/images/lnyRErycIc.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	GASTROCNEMIUS	SOLEUS, HAMSTRINGS
exr_41n2hvzxocyjoGgL	PIE082	Standing Leg Calf Raise	https://cdn.exercisedb.dev/media/w/images/uA2GpJrwkM.jpg	Pierna	Flexión Plantar	Barra	Ninguna	Gimnasio	Media	Intermedio	Media	GMM, PG	Aislamiento	ENF002, ENF003	PAT007	Ninguna	GASTROCNEMIUS	SOLEUS
exr_41n2hWbP5uF6PQpU	PIE083	Donkey Calf Raise	https://cdn.exercisedb.dev/media/w/images/dFa8KAouxh.jpg	Pierna	Flexión Plantar	Propio Peso	Ninguna	Casa, Gimnasio	Baja-Media	Básico	Media	PG, GMM, SB	Aislamiento	ENF001, ENF002, ENF003, ENF009	PAT007	Ninguna	GASTROCNEMIUS	SOLEUS
exr_41n2hyWsNxNYWpk3	PIE084	Kneeling Toe Up Hamstring Stretch	https://cdn.exercisedb.dev/media/w/images/81V8lv3nXo.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	HAMSTRINGS	SERRATUS ANTERIOR, GLUTEUS MAXIMUS
exr_41n2hwoc6PkW1UJJ	PIE085	Barbell Standing Calf Raise	https://cdn.exercisedb.dev/media/w/images/INNldWkUb2.jpg	Pierna	Flexión Plantar	Barra	Ninguna	Gimnasio	Media	Intermedio	Media	GMM, PG	Aislamiento	ENF002, ENF003	PAT007	Ninguna	GASTROCNEMIUS	SOLEUS
exr_41n2hzfRXQDaLYJh	PIE086	Bodyweight Standing Calf Raise (Variation)	https://cdn.exercisedb.dev/media/w/images/STjlyreDEq.jpg	Pierna	Flexión Plantar	Propio Peso	Ninguna	Casa, Aire Libre	Baja-Media	Básico	Media	PG, GMM, SB	Aislamiento	ENF001, ENF002, ENF003, ENF009	PAT007	Ninguna	GASTROCNEMIUS	SOLEUS
exr_41n2hzZBVbWFoLK3	PIE087	Feet and Ankles Side to Side Stretch	https://cdn.exercisedb.dev/media/w/images/yAOgC2G2r4.jpg	Pierna	Estabilización	Propio Peso	Ninguna	Casa, Aire Libre	Baja	Básico	Baja	SB	Correctivo	ENF001, ENF002, ENF003, ENF009	Ninguna	Ninguna	GLUTEUS MAXIMUS, SOLEUS	GLUTEUS MEDIUS, GRACILIS
